Fecha_Key,FechaCompleta,anio,Mes,DiaDeMes,DiaDeSemana
20200101,1/1/2020,2020,1,1,3
20200102,2/1/2020,2020,1,2,4
20200103,3/1/2020,2020,1,3,5
20200104,4/1/2020,2020,1,4,6
20200105,5/1/2020,2020,1,5,7
20200106,6/1/2020,2020,1,6,1
20200107,7/1/2020,2020,1,7,2
20200108,8/1/2020,2020,1,8,3
20200109,9/1/2020,2020,1,9,4
20200110,10/1/2020,2020,1,10,5
20200111,11/1/2020,2020,1,11,6
20200112,12/1/2020,2020,1,12,7
20200113,13/1/2020,2020,1,13,1
20200114,14/1/2020,2020,1,14,2
20200115,15/1/2020,2020,1,15,3
20200116,16/1/2020,2020,1,16,4
20200117,17/1/2020,2020,1,17,5
20200118,18/1/2020,2020,1,18,6
20200119,19/1/2020,2020,1,19,7
20200120,20/1/2020,2020,1,20,1
20200121,21/1/2020,2020,1,21,2
20200122,22/1/2020,2020,1,22,3
20200123,23/1/2020,2020,1,23,4
20200124,24/1/2020,2020,1,24,5
20200125,25/1/2020,2020,1,25,6
20200126,26/1/2020,2020,1,26,7
20200127,27/1/2020,2020,1,27,1
20200128,28/1/2020,2020,1,28,2
20200129,29/1/2020,2020,1,29,3
20200130,30/1/2020,2020,1,30,4
20200131,31/1/2020,2020,1,31,5
20200201,1/2/2020,2020,2,1,6
20200202,2/2/2020,2020,2,2,7
20200203,3/2/2020,2020,2,3,1
20200204,4/2/2020,2020,2,4,2
20200205,5/2/2020,2020,2,5,3
20200206,6/2/2020,2020,2,6,4
20200207,7/2/2020,2020,2,7,5
20200208,8/2/2020,2020,2,8,6
20200209,9/2/2020,2020,2,9,7
20200210,10/2/2020,2020,2,10,1
20200211,11/2/2020,2020,2,11,2
20200212,12/2/2020,2020,2,12,3
20200213,13/2/2020,2020,2,13,4
20200214,14/2/2020,2020,2,14,5
20200215,15/2/2020,2020,2,15,6
20200216,16/2/2020,2020,2,16,7
20200217,17/2/2020,2020,2,17,1
20200218,18/2/2020,2020,2,18,2
20200219,19/2/2020,2020,2,19,3
20200220,20/2/2020,2020,2,20,4
20200221,21/2/2020,2020,2,21,5
20200222,22/2/2020,2020,2,22,6
20200223,23/2/2020,2020,2,23,7
20200224,24/2/2020,2020,2,24,1
20200225,25/2/2020,2020,2,25,2
20200226,26/2/2020,2020,2,26,3
20200227,27/2/2020,2020,2,27,4
20200228,28/2/2020,2020,2,28,5
20200229,29/2/2020,2020,2,29,6
20200301,1/3/2020,2020,3,1,7
20200302,2/3/2020,2020,3,2,1
20200303,3/3/2020,2020,3,3,2
20200304,4/3/2020,2020,3,4,3
20200305,5/3/2020,2020,3,5,4
20200306,6/3/2020,2020,3,6,5
20200307,7/3/2020,2020,3,7,6
20200308,8/3/2020,2020,3,8,7
20200309,9/3/2020,2020,3,9,1
20200310,10/3/2020,2020,3,10,2
20200311,11/3/2020,2020,3,11,3
20200312,12/3/2020,2020,3,12,4
20200313,13/3/2020,2020,3,13,5
